Model,Train Accuracy,Test Accuracy,CV Mean,CV Std,AUC,Average Precision
Random Forest,1.0,0.5773195876288659,0.5467190704032809,0.051727189951948686,0.5803418803418803,0.577633638602929
Gradient Boosting,1.0,0.5463917525773195,0.5442583732057417,0.056361142918701534,0.5303418803418803,0.5803497872998348
XGBoost,1.0,0.5154639175257731,0.49972658920027346,0.0818682746658918,0.5051282051282051,0.5361931262663784
SVM,0.9505208333333334,0.4742268041237113,0.49976076555023924,0.057289145801003076,0.5196581196581196,0.5502294463305483
Neural Network,1.0,0.5360824742268041,0.5051264524948735,0.03091174811567081,0.5055555555555555,0.5278141956614573
