Model,Accuracy,Precision,Recall,F1_Score,AUC,Majority_Baseline,Random_Baseline,P_Value_Binomial_vs_Majority,P_Value_Binomial_vs_Chance,P_Value_Permutation,P_Value_McNemar,N_Train,N_Test
Random Forest,0.5773195876288659,0.5846153846153846,0.7307692307692307,0.6495726495726495,0.5803418803418803,0.5360824742268041,0.5360824742268041,0.30613293960054166,0.11143882729168793,0.129,0.5958830905651775,384,97
Gradient Boosting,0.5463917525773195,0.5625,0.6923076923076923,0.6206896551724138,0.5303418803418803,0.5360824742268041,0.5360824742268041,0.5414734243424238,0.2713050790229375,0.291,1.0,384,97
XGBoost,0.5154639175257731,0.543859649122807,0.5961538461538461,0.5688073394495413,0.5051282051282051,0.5360824742268041,0.5360824742268041,0.7622341481450013,0.5,0.536,0.8743670611628918,384,97
SVM,0.4742268041237113,0.5079365079365079,0.6153846153846154,0.5565217391304348,0.5196581196581196,0.5360824742268041,0.5360824742268041,0.9069851864690449,0.7286949209770626,0.828,0.3911725228101395,384,97
Neural Network,0.5360824742268041,0.5555555555555556,0.6730769230769231,0.6086956521739131,0.5055555555555555,0.5360824742268041,0.5360824742268041,0.5414734243424238,0.2713050790229375,0.373,0.8638317428547264,384,97
